id,first_name,second_name,team_code,team_name,type,cost,status,total_points,round,kickoff_time,opp_team_id,opp_team_name,was_home,team_h_score,team_a_score,strength_overall_home,strength_overall_away,strength_attack_home,strength_attack_away,strength_defence_home,strength_defence_away,opp_strength_overall_home,opp_strength_overall_away,opp_strength_attack_home,opp_strength_attack_away,opp_strength_defence_home,opp_strength_defence_away,minutes,yellow_cards,red_cards,goals_scored,own_goals,fouls,dribbles,saves,clean_sheets,goals_conceded,penalties_saved,errors_leading_to_goal,errors_leading_to_goal_attempt,clearances_blocks_interceptions,penalties_conceded,tackles,recoveries,big_chances_missed,offside,open_play_crosses,big_chances_created,key_passes,attempted_passes,completed_passes,assists,penalties_missed,tackled,target_missed,points
163,Abel,Hernandez,88,Hull,4,59,i,24,1,13 Aug 12:30,8,Leicester,True,2,1,940,980,940,950,960,970,1075,1190,1000,1240,1075,1100,90,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,15,10,1,0,2,2,5
163,Abel,Hernandez,88,Hull,4,59,i,24,2,20 Aug 15:00,16,Swansea,False,0,2,940,980,940,950,960,970,970,1000,950,960,990,1035,90,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,1,1,2,0,0,0,23,16,0,0,2,0,6
163,Abel,Hernandez,88,Hull,4,59,i,24,3,27 Aug 17:30,11,Man Utd,True,0,1,940,980,940,950,960,970,1200,1280,1200,1250,1265,1315,82,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,13,10,0,0,4,0,2
163,Abel,Hernandez,88,Hull,4,59,i,24,4,10 Sep 15:00,3,Burnley,False,1,1,940,980,940,950,960,970,940,1040,940,1125,925,1000,90,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,12,10,0,0,2,1,2
163,Abel,Hernandez,88,Hull,4,59,i,24,5,17 Sep 15:00,1,Arsenal,True,1,4,940,980,940,950,960,970,1290,1300,1300,1250,1300,1375,76,0,0,0,0,2,0,0,0,2,0,0,0,1,0,0,1,0,3,0,0,1,10,6,0,0,3,1,2
163,Abel,Hernandez,88,Hull,4,59,i,24,6,24 Sep 15:00,9,Liverpool,False,5,1,940,980,940,950,960,970,1270,1310,1175,1210,1325,1420,90,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,3,0,1,0,0,0,13,9,0,0,4,0,2
163,Abel,Hernandez,88,Hull,4,59,i,24,7,01 Oct 15:00,4,Chelsea,True,0,2,940,980,940,950,960,970,1310,1340,1300,1350,1300,1375,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,0,0,0,0,1
163,Abel,Hernandez,88,Hull,4,59,i,24,8,15 Oct 15:00,2,Bournemouth,False,6,1,940,980,940,950,960,970,950,1080,960,1100,970,1100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163,Abel,Hernandez,88,Hull,4,59,i,24,9,22 Oct 15:00,14,Stoke,True,0,2,940,980,940,950,960,970,1010,1040,970,1025,970,1065,36,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,16,12,0,0,0,2,1
163,Abel,Hernandez,88,Hull,4,59,i,24,10,29 Oct 15:00,18,Watford,False,1,0,940,980,940,950,960,970,1070,1060,1015,1050,1015,1065,90,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,1,23,18,0,0,0,1,2
163,Abel,Hernandez,88,Hull,4,59,i,24,11,06 Nov 14:15,13,Southampton,True,2,1,940,980,940,950,960,970,1120,1170,1200,1260,1175,1250,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,1
163,Abel,Hernandez,88,Hull,4,59,i,24,12,19 Nov 15:00,15,Sunderland,False,3,0,940,980,940,950,960,970,950,980,950,970,980,1025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163,Abel,Hernandez,88,Hull,4,59,i,24,13,26 Nov 15:00,19,West Brom,True,1,1,940,980,940,950,960,970,1000,1040,1140,1075,990,1060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163,Abel,Hernandez,88,Hull,4,59,i,24,14,05 Dec 20:00,12,Middlesbrough,False,1,0,940,980,940,950,960,970,1010,1050,1025,1075,970,990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163,Abel,Hernandez,88,Hull,4,59,i,24,15,10 Dec 15:00,5,Crystal Palace,True,3,3,940,980,940,950,960,970,1000,1020,1040,1065,1065,1090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163,Abel,Hernandez,88,Hull,4,59,i,24,16,14 Dec 20:00,17,Spurs,False,3,0,940,980,940,950,960,970,1250,1290,1280,1355,1290,1315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163,Abel,Hernandez,88,Hull,4,59,i,24,17,17 Dec 15:00,20,West Ham,False,1,0,940,980,940,950,960,970,1080,1090,975,990,1125,1150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163,Abel,Hernandez,88,Hull,4,59,i,24,18,26 Dec 17:15,10,Man City,True,,,940,980,940,950,960,970,1270,1320,1175,1275,1350,1400
