id,first_name,second_name,team_code,team_name,type,cost,status,total_points,round,kickoff_time,opp_team_id,opp_team_name,was_home,team_h_score,team_a_score,strength_overall_home,strength_overall_away,strength_attack_home,strength_attack_away,strength_defence_home,strength_defence_away,opp_strength_overall_home,opp_strength_overall_away,opp_strength_attack_home,opp_strength_attack_away,opp_strength_defence_home,opp_strength_defence_away,minutes,yellow_cards,red_cards,goals_scored,own_goals,fouls,dribbles,saves,clean_sheets,goals_conceded,penalties_saved,errors_leading_to_goal,errors_leading_to_goal_attempt,clearances_blocks_interceptions,penalties_conceded,tackles,recoveries,big_chances_missed,offside,open_play_crosses,big_chances_created,key_passes,attempted_passes,completed_passes,assists,penalties_missed,tackled,target_missed,points
187,Ahmed,Musa,13,Leicester,4,70,a,30,1,13 Aug 12:30,7,Hull,False,2,1,1075,1190,1000,1240,1075,1100,940,980,940,950,960,970,90,0,0,0,0,4,3,0,0,2,0,0,0,1,0,0,3,0,0,0,2,4,24,19,0,0,5,2,2
187,Ahmed,Musa,13,Leicester,4,70,a,30,2,20 Aug 17:30,1,Arsenal,True,0,0,1075,1190,1000,1240,1075,1100,1290,1300,1300,1250,1300,1375,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,0,1
187,Ahmed,Musa,13,Leicester,4,70,a,30,3,27 Aug 15:00,16,Swansea,True,2,1,1075,1190,1000,1240,1075,1100,970,1000,950,960,990,1035,16,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,4,1,0,0,0,0,11,9,0,0,1,0,1
187,Ahmed,Musa,13,Leicester,4,70,a,30,4,10 Sep 17:30,9,Liverpool,False,4,1,1075,1190,1000,1240,1075,1100,1270,1310,1175,1210,1325,1420,45,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,3,0,0,1,0,1,19,11,0,0,2,0,1
187,Ahmed,Musa,13,Leicester,4,70,a,30,5,17 Sep 15:00,3,Burnley,True,3,0,1075,1190,1000,1240,1075,1100,940,1040,940,1125,925,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
187,Ahmed,Musa,13,Leicester,4,70,a,30,6,24 Sep 12:30,11,Man Utd,False,4,1,1075,1190,1000,1240,1075,1100,1200,1280,1200,1250,1265,1315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
187,Ahmed,Musa,13,Leicester,4,70,a,30,7,02 Oct 14:15,13,Southampton,True,0,0,1075,1190,1000,1240,1075,1100,1120,1170,1200,1260,1175,1250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
187,Ahmed,Musa,13,Leicester,4,70,a,30,8,15 Oct 12:30,4,Chelsea,False,3,0,1075,1190,1000,1240,1075,1100,1310,1340,1300,1350,1300,1375,66,0,0,0,0,3,0,0,0,2,0,0,0,0,0,2,2,0,0,0,0,0,16,9,0,0,6,2,2
187,Ahmed,Musa,13,Leicester,4,70,a,30,9,22 Oct 15:00,5,Crystal Palace,True,3,1,1075,1190,1000,1240,1075,1100,1000,1020,1040,1065,1065,1090,80,0,0,1,0,2,3,0,1,0,0,0,0,1,0,2,9,0,0,1,0,1,23,15,0,0,5,0,8
187,Ahmed,Musa,13,Leicester,4,70,a,30,10,29 Oct 15:00,17,Spurs,False,1,1,1075,1190,1000,1240,1075,1100,1250,1290,1280,1355,1290,1315,67,1,0,1,0,1,1,0,0,1,0,0,0,3,0,0,3,0,0,0,0,0,12,11,0,0,2,0,8
187,Ahmed,Musa,13,Leicester,4,70,a,30,11,06 Nov 16:30,19,West Brom,True,1,2,1075,1190,1000,1240,1075,1100,1000,1040,1140,1075,990,1060,66,0,0,0,0,2,4,0,0,1,0,0,0,1,0,0,3,0,1,0,0,0,22,14,0,0,2,0,2
187,Ahmed,Musa,13,Leicester,4,70,a,30,12,19 Nov 15:00,18,Watford,False,2,1,1075,1190,1000,1240,1075,1100,1070,1060,1015,1050,1015,1065,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,3,0,1
187,Ahmed,Musa,13,Leicester,4,70,a,30,13,26 Nov 15:00,12,Middlesbrough,True,2,2,1075,1190,1000,1240,1075,1100,1010,1050,1025,1075,970,990,23,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,11,7,0,0,0,2,1
187,Ahmed,Musa,13,Leicester,4,70,a,30,14,03 Dec 15:00,15,Sunderland,False,2,1,1075,1190,1000,1240,1075,1100,950,980,950,970,980,1025,18,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,8,6,0,0,0,0,1
187,Ahmed,Musa,13,Leicester,4,70,a,30,15,10 Dec 17:30,10,Man City,True,4,2,1075,1190,1000,1240,1075,1100,1270,1320,1175,1275,1350,1400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
187,Ahmed,Musa,13,Leicester,4,70,a,30,16,13 Dec 19:45,2,Bournemouth,False,1,0,1075,1190,1000,1240,1075,1100,950,1080,960,1100,970,1100,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,2,0,1
187,Ahmed,Musa,13,Leicester,4,70,a,30,17,17 Dec 15:00,14,Stoke,False,2,2,1075,1190,1000,1240,1075,1100,1010,1040,970,1025,970,1065,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,4,0,0,0,1,1
187,Ahmed,Musa,13,Leicester,4,70,a,30,18,26 Dec 15:00,6,Everton,True,,,1075,1190,1000,1240,1075,1100,1100,1190,1190,1240,1180,1200
