id,first_name,second_name,team_code,team_name,type,cost,status,total_points,round,kickoff_time,opp_team_id,opp_team_name,was_home,team_h_score,team_a_score,strength_overall_home,strength_overall_away,strength_attack_home,strength_attack_away,strength_defence_home,strength_defence_away,opp_strength_overall_home,opp_strength_overall_away,opp_strength_attack_home,opp_strength_attack_away,opp_strength_defence_home,opp_strength_defence_away,minutes,yellow_cards,red_cards,goals_scored,own_goals,fouls,dribbles,saves,clean_sheets,goals_conceded,penalties_saved,errors_leading_to_goal,errors_leading_to_goal_attempt,clearances_blocks_interceptions,penalties_conceded,tackles,recoveries,big_chances_missed,offside,open_play_crosses,big_chances_created,key_passes,attempted_passes,completed_passes,assists,penalties_missed,tackled,target_missed,points
48,Joshua,King,91,Bournemouth,3,54,a,46,1,14 Aug 13:30,11,Man Utd,True,1,3,950,1080,960,1100,970,1100,1200,1280,1200,1250,1265,1315,90,0,0,0,0,3,2,0,0,3,0,0,0,0,0,0,7,0,0,0,0,1,27,23,0,0,3,0,2
48,Joshua,King,91,Bournemouth,3,54,a,46,2,21 Aug 16:00,20,West Ham,False,1,0,950,1080,960,1100,970,1100,1080,1090,975,990,1125,1150,90,0,0,0,0,1,0,0,0,1,0,0,0,2,0,2,3,0,0,0,0,0,19,14,0,0,3,0,2
48,Joshua,King,91,Bournemouth,3,54,a,46,3,27 Aug 15:00,5,Crystal Palace,False,1,1,950,1080,960,1100,970,1100,1000,1020,1040,1065,1065,1090,90,0,0,1,0,2,1,0,0,1,0,0,0,3,0,1,8,0,0,0,1,2,27,22,0,0,3,0,9
48,Joshua,King,91,Bournemouth,3,54,a,46,4,10 Sep 15:00,19,West Brom,True,1,0,950,1080,960,1100,970,1100,1000,1040,1140,1075,990,1060,73,0,0,0,0,1,3,0,1,0,0,0,0,5,0,1,4,0,0,0,0,0,14,12,0,0,3,0,3
48,Joshua,King,91,Bournemouth,3,54,a,46,5,17 Sep 15:00,10,Man City,False,4,0,950,1080,960,1100,970,1100,1270,1320,1175,1275,1350,1400,90,0,0,0,0,1,6,0,0,4,0,0,0,2,0,2,5,0,0,1,0,1,19,12,0,0,8,0,2
48,Joshua,King,91,Bournemouth,3,54,a,46,6,24 Sep 15:00,6,Everton,True,1,0,950,1080,960,1100,970,1100,1100,1190,1190,1240,1180,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,Joshua,King,91,Bournemouth,3,54,a,46,7,01 Oct 15:00,18,Watford,False,2,2,950,1080,960,1100,970,1100,1070,1060,1015,1050,1015,1065,29,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,4,0,0,0,0,0,10,8,0,0,3,0,6
48,Joshua,King,91,Bournemouth,3,54,a,46,8,15 Oct 15:00,7,Hull,True,6,1,950,1080,960,1100,970,1100,940,980,940,950,960,970,29,0,0,0,0,1,1,0,0,0,0,0,0,2,0,1,1,0,0,1,0,1,8,7,1,0,1,0,4
48,Joshua,King,91,Bournemouth,3,54,a,46,9,22 Oct 12:30,17,Spurs,True,0,0,950,1080,960,1100,970,1100,1250,1290,1280,1355,1290,1315,87,0,0,0,0,4,2,0,1,0,0,0,0,3,0,2,8,0,0,0,0,0,33,22,0,0,2,0,3
48,Joshua,King,91,Bournemouth,3,54,a,46,10,29 Oct 15:00,12,Middlesbrough,False,2,0,950,1080,960,1100,970,1100,1010,1050,1025,1075,970,990,90,0,0,0,0,3,2,0,0,2,0,0,0,0,0,1,5,1,0,0,0,0,25,24,0,0,9,2,2
